feed_category,fa_parent_category,fa_leaf_category,fa_leaf_category_lvl
Industrial Cleaning Businesses,Businesses For Sale,Service Business for sale,5
Machinery Repair and Maintenance Businesses,Businesses For Sale,Service Business for sale,5
Miscellaneous Maintenance Businesses,Businesses For Sale,Service Business for sale,5
Recycling Businesses,Businesses For Sale,Service Business for sale,5
Pet Businesses,Businesses For Sale,Service Business for sale,5
Boarding Kennels,Businesses For Sale,Service Business for sale,5
Catteries,Businesses For Sale,Service Business for sale,5
Miscellaneous Pet Service Businesses,Businesses For Sale,Service Business for sale,5
Veterinary Businesses,Businesses For Sale,Service Business for sale,5
Postal and Communication Businesses,Businesses For Sale,Service Business for sale,5
Couriers and Despatch Businesses,Businesses For Sale,Service Business for sale,5
Mail Box Businesses,Businesses For Sale,Service Business for sale,5
Postal Businesses,Businesses For Sale,Service Business for sale,5
Shipping Services Businesses,Businesses For Sale,Service Business for sale,5
Telephone Service Businesses,Businesses For Sale,Service Business for sale,5
Professional Service Businesses,Businesses For Sale,Service Business for sale,5
Architect Practices,Businesses For Sale,Service Business for sale,5
Business Brokerages,Businesses For Sale,Service Business for sale,5
Consultancy Businesses,Businesses For Sale,Service Business for sale,5
Estate Agencies,Businesses For Sale,Service Business for sale,5
Insurance Related Businesses,Businesses For Sale,Service Business for sale,5
Lawyers / Legal Firms,Businesses For Sale,Service Business for sale,5
Management Consultancies,Businesses For Sale,Service Business for sale,5
Miscellaneous Professional Businesses,Businesses For Sale,Service Business for sale,5
Property Agencies,Businesses For Sale,Service Business for sale,5
Property Services,Businesses For Sale,Service Business for sale,5
Public Shell Companies,Businesses For Sale,Service Business for sale,5
Ready Made Shelf Companies,Businesses For Sale,Service Business for sale,5
Recruitment Agencies,Businesses For Sale,Service Business for sale,5
Surveyors,Businesses For Sale,Service Business for sale,5
Transportation Businesses,Businesses For Sale,Car and Transport Businesses for sale,5
Air Transport Businesses,Businesses For Sale,Car and Transport Businesses for sale,5
Boat Builders and Repair Businesses,Businesses For Sale,Car and Transport Businesses for sale,5
Chauffeur Businesses,Businesses For Sale,Car and Transport Businesses for sale,5
Driving Schools,Businesses For Sale,Car and Transport Businesses for sale,5
Miscellaneous Transport Businesses,Businesses For Sale,Car and Transport Businesses for sale,5
Road Haulage and Freight Businesses,Businesses For Sale,Car and Transport Businesses for sale,5
Taxi Businesses,Businesses For Sale,Car and Transport Businesses for sale,5
Vehicle Leasing Businesses,Businesses For Sale,Car and Transport Businesses for sale,5
Technology and Media Businesses,Businesses For Sale,Commercial Businesses for sale,5
Information Technology Businesses,Businesses For Sale,Commercial Businesses for sale,5
IT Consultancy Businesses,Businesses For Sale,Commercial Businesses for sale,5
IT Businesses,Businesses For Sale,Commercial Businesses for sale,5
IT Maintenance Businesses,Businesses For Sale,Commercial Businesses for sale,5
IT Manufacturing Businesses,Businesses For Sale,Commercial Businesses for sale,5
IT Network Businesses,Businesses For Sale,Commercial Businesses for sale,5
IT Retail Businesses,Businesses For Sale,Commercial Businesses for sale,5
IT Software Businesses,Businesses For Sale,Commercial Businesses for sale,5
IT Telecommunications Businesses,Businesses For Sale,Commercial Businesses for sale,5
Internet Businesses,Businesses For Sale,Commercial Businesses for sale,5
Domain Name Businesses,Businesses For Sale,Commercial Businesses for sale,5
ISPs,Businesses For Sale,Commercial Businesses for sale,5
Miscellaneous Internet Businesses,Businesses For Sale,Commercial Businesses for sale,5
Web Design and Development Businesses,Businesses For Sale,Commercial Businesses for sale,5
Websites,Businesses For Sale,Commercial Businesses for sale,5
Media Businesses,Businesses For Sale,Commercial Businesses for sale,5
Film Businesses,Businesses For Sale,Commercial Businesses for sale,5
Miscellaneous Media Businesses,Businesses For Sale,Commercial Businesses for sale,5
Publishing Businesses,Businesses For Sale,Commercial Businesses for sale,5
TV and Radio Businesses,Businesses For Sale,Commercial Businesses for sale,5
Wholesale and Distribution Businesses,Businesses For Sale,Commercial Businesses for sale,5
Distribution Businesses,Businesses For Sale,Commercial Businesses for sale,5
Miscellaneous Distribution Businesses,Businesses For Sale,Commercial Businesses for sale,5
Wholesale Businesses,Businesses For Sale,Commercial Businesses for sale,5
Miscellaneous Wholesale Businesses,Businesses For Sale,Commercial Businesses for sale,5
