ID;upsell;print area;print edition;print expire
13020588;"Top Ad,Online highlighted,Print booster";"Y";"AD,F,A";"2014-12-02 00:00:00"
13062421;"Top Ad,Flashing";"Y";"";""
13058315;"Urgent,Top Ad";"N";"";""
13059926;"Top Ad,Flashing,Online highlighted";"N";"";""
13066534;"Urgent,Top Ad";"Y";"";""
13068798;"Top Ad,Print booster";"Y";"K";"2014-12-16 00:00:00"
11718491;"Top Ad";"Y";"";""
13028817;"Online highlighted";"N";"";""
13052324;"Top Ad";"N";"";""
13058318;"Top Ad,Print booster";"Y";"A,AD,F,D,C";"2014-12-09 00:00:00"
12959517;"Top Ad,Print booster";"Y";"A,C,AD,F,D";"2014-12-30 00:00:00"
13063792;"Top Ad";"Y";"";""
13063435;"Top Ad";"Y";"";""
13060475;"Top Ad,Print booster";"Y";"A,F,G";"2014-12-02 00:00:00"
13053427;"Top Ad,Flashing,Online highlighted";"N";"";""
13067231;"Flashing";"N";"";""
13060518;"Top Ad";"Y";"";""
13064862;"Top Ad,Print booster";"Y";"G,A,F,B,K";"2014-12-02 00:00:00"
12706783;"Top Ad";"N";"";""
13058310;"Urgent,Top Ad,Flashing,Online highlighted";"N";"";""
13060564;"Urgent,Top Ad";"N";"";""
13063706;"Top Ad";"N";"";""
13067730;"Urgent";"N";"";""
13059787;"Urgent,Top Ad";"N";"";""
13066364;"Top Ad";"Y";"";""
12768413;"Top Ad";"Y";"";""
13062036;"Urgent,Top Ad,Flashing";"N";"";""
12952221;"Top Ad";"N";"";""
13059887;"Top Ad";"N";"";""
13069886;"Urgent,Print booster";"Y";"F,G,K,A,AD";"2014-12-09 00:00:00"
13059138;"Top Ad";"Y";"";""
13061841;"Top Ad";"Y";"";""
13034292;"Top Ad,Print booster";"Y";"A,E,D,C,AD";"2014-12-09 00:00:00"
13021913;"Top Ad";"N";"";""
13066948;"Top Ad,Print booster";"Y";"E,C,A";"2014-12-02 00:00:00"
13062898;"Urgent,Top Ad,Print booster";"Y";"G";"2014-12-02 00:00:00"
13069014;"Top Ad";"Y";"";""
13064219;"Top Ad";"Y";"";""
13024719;"Top Ad,Flashing,Online highlighted";"N";"";""
13066578;"Flashing";"N";"";""
13064851;"Top Ad,Print booster";"Y";"G";"2014-12-02 00:00:00"
13050061;"Urgent,Top Ad,Flashing,Online highlighted,Print booster";"Y";"F,P,AD,G,A";"2014-12-02 00:00:00"
12723207;"Top Ad";"N";"";""
13063526;"Urgent,Top Ad,Flashing,Online highlighted";"Y";"";""
12815435;"Top Ad";"N";"";""
13056542;"Top Ad";"Y";"";""
13064326;"Top Ad";"Y";"";""
13009166;"Urgent";"Y";"";""
13068125;"Top Ad,Flashing";"Y";"";""
13061378;"Top Ad";"N";"";""
13061801;"Top Ad,Print booster";"Y";"F,A,G";"2014-12-02 00:00:00"
13039848;"Top Ad,Print booster";"Y";"G";"2014-12-02 00:00:00"
13064190;"Top Ad";"Y";"";""
13057436;"Top Ad";"N";"";""
13065619;"Top Ad,Print booster";"Y";"B";"2014-12-09 00:00:00"
13055973;"Top Ad";"Y";"";""
12024202;"Top Ad";"Y";"";""
13067325;"Flashing,Print booster";"Y";"TI,AD,G,1U,F";"2014-12-02 00:00:00"
13065614;"Urgent,Top Ad,Print booster";"Y";"C,E,B,A,G";"2014-12-02 00:00:00"
13064359;"Top Ad";"N";"";""
13065472;"Top Ad";"N";"";""
13065271;"Online highlighted";"N";"";""
13060104;"Top Ad";"Y";"";""
13062906;"Top Ad,Print booster";"Y";"K,F,G,P,AD";"2014-12-02 00:00:00"
13060506;"Urgent,Top Ad";"Y";"";""
13065395;"Top Ad";"N";"";""
12324815;"Top Ad";"N";"";""
13061072;"Top Ad";"Y";"";""
13064868;"Urgent,Top Ad,Print booster";"Y";"C,E,B";"2014-12-09 00:00:00"
13069350;"Top Ad";"Y";"";""
13016215;"Top Ad,Online highlighted";"N";"";""
12737744;"Top Ad";"N";"";""
12760401;"Top Ad";"Y";"";""
13066943;"Top Ad,Online highlighted,Print booster";"Y";"A,C,D";"2014-12-02 00:00:00"
12897358;"Top Ad,Print booster";"Y";"A,F,C";"2014-12-23 00:00:00"
13053046;"Top Ad";"Y";"";""
13056854;"Top Ad";"Y";"";""
13060612;"Top Ad";"Y";"";""
13042062;"Flashing";"Y";"";""
13057596;"Urgent";"N";"";""
13065361;"Top Ad";"Y";"";""
13054146;"Urgent,Top Ad,Online highlighted,Print booster";"Y";"F,P,AD,G,A";"2014-12-02 00:00:00"
13035271;"Top Ad,Online highlighted";"N";"";""
13064749;"Urgent";"N";"";""
13062742;"Top Ad";"N";"";""
13067952;"Top Ad,Print booster";"Y";"K,G,F,A,B";"2014-12-02 00:00:00"
13058955;"Online highlighted";"Y";"";""
13065400;"Top Ad,Print booster";"Y";"C,B,A,E,G";"2014-12-02 00:00:00"
13069153;"Top Ad";"Y";"";""
12056836;"Top Ad";"N";"";""
12922749;"Top Ad";"N";"";""
12938391;"Online highlighted";"N";"";""
13062066;"Top Ad";"Y";"";""
13063403;"Top Ad";"Y";"";""
13057759;"Top Ad,Print booster";"Y";"C,B,E";"2014-12-09 00:00:00"
12461014;"Top Ad,Print booster,Print booster";"Y";"E";"2014-12-02 00:00:00"
12709529;"Top Ad,Print booster";"Y";"F,P,AD";"2015-04-14 00:00:00"
13060806;"Urgent,Top Ad,Online highlighted,Print booster";"Y";"A,B,G";"2014-12-09 00:00:00"
13068312;"Online highlighted";"N";"";""
13003698;"Top Ad";"N";"";""
12952969;"Top Ad,Online highlighted,Print booster";"Y";"G,K,F,A,B";"2014-12-02 00:00:00"
13060520;"Urgent,Top Ad,Flashing,Online highlighted";"N";"";""
13057163;"Urgent,Top Ad";"N";"";""
13054902;"Top Ad,Print booster";"Y";"G";"2014-12-02 00:00:00"
13066410;"Top Ad";"Y";"";""
13066946;"Top Ad,Print booster";"Y";"E,D,A,C,AD";"2014-12-16 00:00:00"
12981748;"Top Ad,Flashing,Online highlighted";"N";"";""
13059005;"Urgent";"Y";"";""
13065347;"Top Ad";"N";"";""
13063481;"Urgent";"N";"";""
13033130;"Urgent";"Y";"";""
13061508;"Top Ad";"N";"";""
13060097;"Urgent,Top Ad,Print booster";"Y";"E,A,D";"2014-12-09 00:00:00"
13059917;"Urgent,Top Ad";"N";"";""
13057668;"Flashing";"Y";"";""
12906515;"Online highlighted";"Y";"";""
13056952;"Top Ad,Online highlighted";"Y";"";""
13062135;"Top Ad";"Y";"";""
13057403;"Top Ad";"N";"";""
13059702;"Top Ad";"N";"";""
13059824;"Top Ad";"N";"";""
13069253;"Top Ad,Print booster";"Y";"C,B,E,A,G";"2014-12-09 00:00:00"
13021600;"Top Ad";"N";"";""
13058509;"Urgent,Print booster";"Y";"G";"2014-12-16 00:00:00"
12903058;"Top Ad";"Y";"";""
13034839;"Top Ad";"Y";"";""
13069147;"Top Ad,Online highlighted";"N";"";""
13046755;"Urgent";"Y";"";""
13066126;"Top Ad";"Y";"";""
13062035;"Urgent,Top Ad,Flashing,Online highlighted";"N";"";""
13059210;"Top Ad,Online highlighted";"N";"";""
13043243;"Top Ad";"Y";"";""
13065404;"Top Ad,Print booster";"Y";"C";"2014-12-16 00:00:00"
13069152;"Top Ad";"Y";"";""
13067711;"Top Ad,Print booster";"Y";"K,G,F,A,B";"2014-12-02 00:00:00"
12758568;"Top Ad,Print booster";"Y";"A,F,C,AD,D";"2014-12-02 00:00:00"
13057845;"Top Ad";"Y";"";""
12241441;"Top Ad";"Y";"";""
13059134;"Top Ad,Print booster";"Y";"A,AD,D";"2014-12-02 00:00:00"
13064385;"Top Ad,Online highlighted,Print booster";"Y";"K";"2014-12-23 00:00:00"
13044281;"Top Ad";"N";"";""
13063493;"Top Ad,Print booster";"Y";"K,F,G";"2014-12-02 00:00:00"
13056638;"Top Ad";"N";"";""
13063864;"Top Ad";"N";"";""
13047910;"Urgent";"Y";"";""
13043745;"Top Ad,Print booster";"Y";"C,E,B,A,G";"2014-12-09 00:00:00"
13015393;"Top Ad,Flashing,Print booster";"Y";"G,A,B,F,K";"2014-12-02 00:00:00"
13057332;"Top Ad,Online highlighted,Print booster";"Y";"K,F,G,P,AD";"2014-12-02 00:00:00"
13065618;"Urgent,Top Ad,Print booster";"Y";"K,G,F,A,B";"2014-12-02 00:00:00"
13057547;"Top Ad";"Y";"";""
13058628;"Top Ad";"N";"";""
13005905;"Top Ad";"Y";"";""
13060954;"Urgent,Top Ad";"Y";"";""
13068334;"Top Ad";"N";"";""
13053270;"Top Ad,Print booster";"Y";"AD,D,F,A,P";"2014-12-23 00:00:00"
13058589;"Top Ad";"Y";"";""
13064187;"Top Ad";"Y";"";""
12967733;"Top Ad";"N";"";""
12885617;"Flashing";"N";"";""
13065742;"Urgent,Top Ad";"N";"";""
13061037;"Top Ad,Print booster";"Y";"D";"2014-12-23 00:00:00"
13060625;"Top Ad";"N";"";""
13063752;"Top Ad,Print booster";"Y";"E";"2014-12-02 00:00:00"
13063332;"Top Ad";"N";"";""
13058754;"Online highlighted,Print booster";"Y";"G,B,A";"2014-12-02 00:00:00"
13064079;"Top Ad,Print booster";"Y";"A,D,AD";"2014-12-16 00:00:00"
13012240;"Top Ad";"Y";"";""
13057164;"Urgent";"N";"";""
12897642;"Flashing";"N";"";""
13065039;"Top Ad,Print booster";"Y";"G,F,A,K,B";"2014-12-02 00:00:00"
13042729;"Urgent";"Y";"";""
13063751;"Urgent,Top Ad,Print booster";"Y";"E";"2014-12-02 00:00:00"
13069223;"Top Ad";"N";"";""
12892966;"Online highlighted";"N";"";""
13059788;"Top Ad";"Y";"";""
13067340;"Top Ad,Print booster";"Y";"K";"2014-12-09 00:00:00"
12870619;"Top Ad";"Y";"";""
12923299;"Top Ad";"N";"";""
12793805;"Top Ad";"Y";"";""
13064056;"Top Ad,Print booster";"Y";"G,K,F";"2014-12-02 00:00:00"
13048402;"Online highlighted";"N";"";""
13062301;"Top Ad,Online highlighted,Print booster";"Y";"P,F,AD";"2014-12-02 00:00:00"
13065064;"Top Ad";"Y";"";""
13028534;"Flashing";"N";"";""
13064847;"Top Ad";"N";"";""
12242371;"Top Ad";"N";"";""
13050836;"Top Ad,Print booster";"Y";"G";"2014-12-09 00:00:00"
12583240;"Top Ad";"Y";"";""
13065968;"Top Ad,Flashing,Print booster";"Y";"C,E,B,A,G";"2014-12-02 00:00:00"
13067738;"Top Ad";"Y";"";""
13058190;"Top Ad";"Y";"";""
13062162;"Urgent";"N";"";""
13057165;"Top Ad";"N";"";""
12411971;"Top Ad";"Y";"";""
13020145;"Top Ad,Flashing";"Y";"";""
13063962;"Top Ad";"Y";"";""
13058445;"Urgent";"Y";"";""
13010525;"Top Ad";"Y";"";""
13033534;"Urgent";"Y";"";""
13033866;"Top Ad";"N";"";""
12968676;"Top Ad";"Y";"";""
12958634;"Top Ad";"Y";"";""
13062385;"Flashing";"Y";"";""
13063920;"Top Ad";"Y";"";""
13032642;"Top Ad";"Y";"";""
13056552;"Urgent,Top Ad,Flashing,Online highlighted";"N";"";""
13058240;"Urgent,Top Ad,Print booster";"Y";"TI";"2014-12-02 00:00:00"
12335217;"Top Ad";"Y";"";""
13060262;"Flashing";"Y";"";""
13062520;"Top Ad";"N";"";""
13030089;"Top Ad";"Y";"";""
13048350;"Top Ad,Print booster";"Y";"E,C,A,D,AD";"2014-12-02 00:00:00"
13069364;"Top Ad";"N";"";""
13067598;"Top Ad,Print booster";"Y";"A";"2014-12-02 00:00:00"
12991770;"Top Ad";"N";"";""
13060983;"Urgent,Top Ad,Print booster";"Y";"B,A,G";"2014-12-09 00:00:00"
13002329;"Top Ad,Print booster";"Y";"D,E,A,C,AD";"2014-12-02 00:00:00"
12784521;"Print booster,Print booster";"Y";"G";"2014-12-02 00:00:00"
13057577;"Top Ad";"N";"";""
13063949;"Top Ad";"Y";"";""
13062612;"Urgent";"N";"";""
13066619;"Top Ad,Flashing,Online highlighted";"N";"";""
13051992;"Flashing";"Y";"";""
12954013;"Top Ad,Print booster";"Y";"K";"2014-12-09 00:00:00"
13045236;"Top Ad,Print booster";"Y";"TI,1U,AD,G,F";"2014-12-02 00:00:00"
13048398;"Top Ad";"Y";"";""
13058213;"Flashing";"N";"";""
13055910;"Top Ad";"Y";"";""
13043661;"Top Ad,Print booster";"Y";"C,A,B,G,E";"2014-12-02 00:00:00"
13037080;"Urgent";"Y";"";""
13067426;"Urgent";"Y";"";""
13062505;"Top Ad";"N";"";""
13059114;"Urgent";"Y";"";""
13034134;"Urgent,Top Ad";"Y";"";""
13064014;"Top Ad";"Y";"";""
13012092;"Top Ad";"Y";"";""
13058469;"Urgent,Top Ad,Print booster";"Y";"C,E,A";"2014-12-02 00:00:00"
12861379;"Print booster";"Y";"";""
13058052;"Top Ad,Flashing,Online highlighted";"Y";"";""
13043108;"Top Ad";"N";"";""
12948300;"Top Ad";"Y";"";""
13012921;"Top Ad";"Y";"";""
13066163;"Top Ad";"N";"";""
13067348;"Top Ad";"N";"";""
13060874;"Top Ad,Print booster";"Y";"F,A,G,K,AD";"2014-12-09 00:00:00"
13037610;"Top Ad,Print booster";"Y";"C,E,B,A,G";"2014-12-09 00:00:00"
13065617;"Urgent,Top Ad,Print booster";"Y";"E,A,C";"2014-12-02 00:00:00"
13060022;"Top Ad";"N";"";""
13065685;"Top Ad";"Y";"";""
13059970;"Top Ad,Online highlighted";"Y";"";""
13043538;"Online highlighted,Print booster";"Y";"K,G,F";"2014-12-02 00:00:00"
12955775;"Top Ad,Print booster";"Y";"F,A,G";"2014-12-23 00:00:00"
13050069;"Top Ad,Flashing,Online highlighted";"Y";"";""
13060863;"Top Ad,Print booster";"Y";"TI";"2014-12-09 00:00:00"
13061071;"Urgent,Top Ad";"N";"";""
10329490;"Top Ad,Print booster";"Y";"C,B,E";"2014-12-16 00:00:00"
13069229;"Top Ad,Print booster";"Y";"A,C,F";"2014-12-16 00:00:00"
13069744;"Top Ad";"N";"";""
13061224;"Top Ad";"Y";"";""
13066935;"Urgent";"N";"";""
13059275;"Online highlighted,Print booster";"Y";"E";"2015-01-20 00:00:00"
13061778;"Top Ad";"Y";"";""
10647266;"Print booster,Print booster";"Y";"K,F,G";"2014-12-23 00:00:00"
12952176;"Top Ad";"Y";"";""
13058424;"Online highlighted,Print booster";"Y";"E";"2014-12-09 00:00:00"
13057908;"Top Ad,Print booster";"Y";"K,F,G";"2014-12-02 00:00:00"
11009596;"Urgent";"Y";"";""
13060947;"Top Ad";"N";"";""
13060089;"Flashing";"N";"";""
13062900;"Top Ad,Print booster";"Y";"K,F,G,AD,1U";"2014-12-02 00:00:00"
11728083;"Top Ad";"N";"";""
13062681;"Top Ad";"N";"";""
13060942;"Urgent,Top Ad";"Y";"";""
12731508;"Top Ad";"N";"";""
13057023;"Urgent,Top Ad,Print booster";"Y";"F";"2014-12-02 00:00:00"
13053017;"Top Ad";"Y";"";""
13063697;"Urgent,Top Ad,Print booster";"Y";"G";"2014-12-02 00:00:00"
13061843;"Top Ad,Print booster";"Y";"F,A,G";"2014-12-02 00:00:00"
13069737;"Top Ad";"N";"";""
13058460;"Top Ad";"N";"";""
13055621;"Urgent";"Y";"";""
13058423;"Online highlighted,Print booster";"Y";"E";"2014-12-09 00:00:00"
13067667;"Urgent";"N";"";""
12567886;"Print booster,Print booster";"Y";"C,B,E,A,G";"2015-01-13 00:00:00"
13065501;"Top Ad";"Y";"";""
13062468;"Top Ad,Online highlighted";"N";"";""
